Alpha,Straight Stave (matches stereo staves),Hybrid Sense,,,,,,Alpha,DCB Sense,Connectors J9 through J13 on Telem BB,,,,,,Alpha,Stereo Stave (matches straight staves),Hybrid Sense,,,,
Connector Telemetry BB,RJ45 Connector PPP,Label (red shell),Line,Wire No.,LVR ID - Connector,Power Location on PPP,,Connector Telemetry BB,Connector PPP,Label (red shell),Line,Wire No.,LVR ID - Connector,Power Location on PPP,,Connector Telemetry BB,Connector PPP,Label (red shell),Line,Wire No.,LVR ID - Connector,Power Location on PPP
J3,E11,E11-J3-1.2-3X,JP1 P4 LV Sense P,3,1 - J16,P19 - 5,,J11,F10,F10-J11-1.5-3,JD4 1V5 Sense P,3,12 - J10,P21 - 4 (Master) | P21 - 5 (slave),,J16,D9,D9-J16-1.2-3U,JP2 P4 LV Sense P,3,1 - J16,P22 - 5
J3,E11,E11-J3-1.2-3X,JP8 P3 LV Sense P,4,3 - J16,P4 - 3,,J11,F10,F10-J11-1.5-3,JD7 1V5 Sense P,4,12 - J16,P20 - 1 (Master) | P20 - 2 (slave),,J16,D9,D9-J16-1.2-3U,JP11 P3 LV Sense P,4,3 - J16,P22 - 4
J3,E11,E11-J3-1.2-3X,JP8 P3 LV Sense N,5,3 - J16,P4 - 11,,J11,F10,F10-J11-1.5-3,JD7 1V5 Sense N,5,12 - J16,P20 - 9 (Master) | P20 - 10 (slave),,J16,D9,D9-J16-1.2-3U,JP11 P3 LV Sense N,5,3 - J16,P22 - 12
J3,E11,E11-J3-1.2-3X,JP1 P4 LV Sense N,6,1 - J16,P19 - 13,,J11,F10,F10-J11-1.5-3,JD4 1V5 Sense N,6,12 - J10,P21 - 12 (Master) | P21 - 13 (slave),,J16,D9,D9-J16-1.2-3U,JP2 P4 LV Sense N,6,1 - J16,P22 - 13
J3,E11,E11-J3-1.2-3X,JP9 P2E LV Sense P,7,3 - J16,P4 - 5,,J11,F10,F10-J11-1.5-3,JD6 1V5 Sense P,7,12 - J16,P23 - 2 (Master) | P23 - 1 (slave),,J16,D9,D9-J16-1.2-3U,JP10 P2E LV Sense P,7,3 - J16,P1 - 5
J3,E11,E11-J3-1.2-3X,JP9 P2E LV Sense N,8,3 - J16,P4 - 13,,J11,F10,F10-J11-1.5-3,JD6 1V5 Sense N,8,12 - J16,P23 - 10 (Master) | P23 - 9 (slave),,J16,D9,D9-J16-1.2-3U,JP10 P2E LV Sense N,8,3 - J16,P1 - 13
,,,,,,,,,,,,,,,,,,,,,,
J4,F11,F11-J4-1.2-4X,JP9 P1W LV Sense P,1,5 - J10,P4 - 4 ,,,,,,,,,,J17,E9,E9-J17-1.2-4U,JP10 P1W LV Sense P,1,5 - J10,P1 - 4
J4,F11,F11-J4-1.2-4X,JP9 P1W LV Sense N,2,5 - J10,P4 - 12,,,,,,,,,,J17,E9,E9-J17-1.2-4U,JP10 P1W LV Sense N,2,5 - J10,P1 - 12
J4,F11,F11-J4-1.2-4X,JP4 P2E LV Sense P,3,5 - J10,P5 - 2,,J12,G10,G10-J12-2.5-1,JD3_2 2V5 Sense P,3,16 - J10,P21 - 7,,J17,E9,E9-J17-1.2-4U,JP7 P2E LV Sense P,3,5 - J10,P2 - 2
